data_source,threshold,min_num,run_times,csi_time,my_method_time,mean_error,max_error,linear,curve
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[0],0.01,4,10,119.72000000000116,120.88999999999942,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[1],0.01,4,10,121.05999999999767,121.4800000000032,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[2],0.01,4,10,120.13000000000466,120.87999999999738,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[3],0.01,4,10,122.75,90.74000000000524,8.418855787250519e-07,0.0005931868019798379,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[4],0.01,4,10,120.15000000000146,120.30999999999767,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[5],0.01,4,10,120.7699999999968,53.25,8.021408402045724e-07,0.0005519606933690079,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[6],0.01,4,10,120.72000000000116,121.19000000000233,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[7],0.01,4,10,121.37999999999738,37.86000000000058,8.243339959929388e-07,0.0003562958177461001,2,3
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[8],0.01,4,10,119.91999999999825,120.2699999999968,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[9],0.01,4,10,121.16999999999825,119.76000000000204,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[10],0.01,4,10,120.95000000000437,120.80999999999767,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[11],0.01,4,10,119.45000000000437,18.799999999995634,0.00010079777751036962,0.052203627397567495,2,3
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[12],0.01,4,10,119.44000000000233,120.79999999999563,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[13],0.01,4,10,121.29000000000087,121.93000000000029,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[14],0.01,4,10,120.86000000000058,120.25,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[15],0.01,4,10,121.5,123.20999999999913,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[16],0.01,4,10,121.56999999999971,121.73999999999796,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[17],0.01,4,10,122.94000000000233,119.18000000000029,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[18],0.01,4,10,122.7300000000032,100.76000000000204,1.4845578168621978e-06,0.0013670993310888264,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[19],0.01,4,10,121.7699999999968,122.54000000000087,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[20],0.01,4,10,122.10000000000582,120.95999999999913,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[21],0.01,4,10,122.62999999999738,121.7300000000032,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[22],0.01,4,10,124.51000000000204,121.09999999999854,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[23],0.01,4,10,120.25,33.919999999998254,1.7132525639375964e-06,0.0014878599402954758,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[24],0.01,4,10,120.61000000000058,123.0,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[25],0.01,4,10,120.70000000000437,121.61000000000058,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[26],0.01,4,10,121.47000000000116,121.31999999999971,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[27],0.01,4,10,121.5199999999968,120.97000000000116,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[28],0.01,4,10,121.03000000000611,121.71999999999389,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[29],0.01,4,10,123.44999999999709,122.16000000000349,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[30],0.01,4,10,121.48999999999796,121.86000000000058,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[31],0.01,4,10,120.69000000000233,122.70999999999913,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[32],0.01,4,10,122.59999999999854,122.15000000000146,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[33],0.01,4,10,121.36999999999534,120.77999999999884,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[34],0.01,4,10,121.11999999999534,121.40000000000146,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[35],0.01,4,10,122.74000000000524,110.02999999999884,2.296562407831001e-05,0.022193568033034676,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[36],0.01,4,10,124.22999999999593,121.09000000000378,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[37],0.01,4,10,121.69000000000233,121.11000000000058,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[38],0.01,4,10,120.63999999999942,120.75,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[39],0.01,4,10,121.51000000000204,17.75,3.3438858210185e-05,0.010770784432199811,2,3
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[40],0.01,4,10,122.30000000000291,121.02999999999884,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[41],0.01,4,10,120.55999999999767,40.0199999999968,4.326651318183744e-06,0.0027960509634984755,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[42],0.01,4,10,122.20000000000437,122.43000000000029,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[43],0.01,4,10,121.80000000000291,121.57999999999447,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[44],0.01,4,10,123.18000000000029,122.31999999999971,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[45],0.01,4,10,124.97999999999593,53.44000000000233,3.6689525309746403e-07,0.00013259675412924312,1,2
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[46],0.01,4,10,121.88999999999942,120.76000000000204,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[47],0.01,4,10,120.58999999999651,121.75,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[48],0.01,4,10,122.88999999999942,121.40000000000146,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[49],0.01,4,10,123.72000000000116,123.77000000000407,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[50],0.01,4,10,120.9800000000032,125.30999999999767,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[51],0.01,4,10,123.31999999999971,15.62000000000262,2.0766689337443605e-06,0.0006046360874332964,3,4
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[52],0.01,4,10,123.23999999999796,121.41999999999825,0.0,0,0,1
UCR_TS_Archive_2015/Haptics/Haptics_TRAIN[53],0.01,4,10,123.45999999999913,120.31999999999971,0.0,0,0,1
