data_source,threshold,min_num,run_times,csi_time,my_method_time,mean_error,max_error,linear,curve
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[0],0.01,4,10,3.5599999999976717,2.1299999999901047,1.784288619072034e-08,1.2453267697819874e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[1],0.01,4,10,3.599999999991269,2.1900000000023283,2.0352866898807407e-08,1.2310919662631558e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[2],0.01,4,10,3.599999999991269,2.040000000008149,3.207514805138005e-08,2.120300777387077e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[3],0.01,4,10,3.539999999993597,2.0100000000093132,9.439049252988519e-08,5.817200297840655e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[4],0.01,4,10,3.5500000000029104,2.3099999999976717,4.915032503518697e-09,5.346283666417019e-08,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[5],0.01,4,10,3.540000000008149,2.2399999999906868,1.461180628362509e-08,1.1275669060616494e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[6],0.01,4,10,3.529999999998836,2.1999999999970896,1.0068500073373491e-08,3.2257862521923485e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[7],0.01,4,10,3.4799999999959255,2.029999999998836,2.6280069135232724e-08,3.341070442521743e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[8],0.01,4,10,3.5,2.099999999991269,1.2687899191992868e-07,3.4907364581242525e-05,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[9],0.01,4,10,3.529999999998836,2.0200000000040745,1.3315929312723868e-07,1.5690015501735316e-05,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[10],0.01,4,10,3.5500000000029104,2.0,6.093129330172204e-08,5.961607249314415e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[11],0.01,4,10,3.5,2.110000000000582,6.065188079308432e-09,3.5034069230964345e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[12],0.01,4,10,3.460000000006403,2.099999999991269,1.2474755069648575e-08,4.696334612588791e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[13],0.01,4,10,3.470000000001164,1.7799999999988358,1.3521786005450053e-08,1.7245452805231581e-06,1,2
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[14],0.01,4,10,3.5499999999883585,2.0100000000093132,6.0271116871978415e-09,1.1761202151048602e-07,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[15],0.01,4,10,3.470000000001164,2.029999999998836,7.921444207387409e-09,5.73160790707153e-07,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[16],0.01,4,10,3.4499999999970896,2.1999999999970896,1.0547736282466863e-08,1.760118340969949e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[17],0.01,4,10,3.4100000000034925,2.1300000000046566,2.3487511594332875e-07,5.373397384230153e-05,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[18],0.01,4,10,3.4800000000104774,1.9899999999906868,2.8284151089931128e-08,1.4850955807515772e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[19],0.01,4,10,3.430000000007567,2.2399999999906868,8.781578367363879e-09,7.938821325844026e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[20],0.01,4,10,3.3999999999941792,2.1600000000034925,1.1472691730129368e-08,6.924598484445931e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[21],0.01,4,10,3.4199999999982538,2.139999999999418,4.111939896346487e-08,9.430955035092584e-06,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[22],0.01,4,10,3.4400000000023283,2.1299999999901047,1.4294608729438174e-08,5.89377916847682e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[23],0.01,4,10,3.400000000008731,2.0,5.987697939116433e-08,2.6313206624718155e-06,1,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[24],0.01,4,10,3.4199999999982538,2.289999999993597,7.1590704867278795e-09,5.00962850598851e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[25],0.01,4,10,3.400000000008731,1.8699999999953434,1.690587711518659e-08,6.79054430286914e-07,1,2
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[26],0.01,4,10,3.5099999999947613,2.139999999999418,1.9019822834029566e-08,8.593601390212446e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[27],0.01,4,10,3.400000000008731,2.6600000000034925,4.152008276740293e-09,4.25301618591635e-08,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[28],0.01,4,10,3.5200000000040745,2.1600000000034925,1.0206847426970792e-08,9.96512207274539e-07,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[29],0.01,4,10,3.5500000000029104,2.220000000001164,1.169281492803232e-07,3.5396194024237545e-05,2,1
UCR_TS_Archive_2015/Lighting7/Lighting7_TRAIN[30],0.01,4,10,3.5200000000040745,2.0800000000017462,2.0303605083443526e-08,1.0246710037574686e-06,1,1
